icao24,dt_s,dist_km,speed_ms,climb_ms,is_fake
39de4a,31.0,7.645,246.62,0.0,0
39de4a,28.0,7.117,254.19,0.0,0
39de4a,19.0,5.034,264.96,0.4,0
39de4a,25.0,5.999,239.95,-0.3,0
39de4a,30.0,7.698,256.6,0.25,0
39de4a,27.0,6.621,245.21,-0.28,0
39de4a,18.0,4.77,265.0,0.0,0
39de4a,31.0,7.597,245.08,0.0,0
39de4a,10.0,2.437,243.74,0.76,0
39de4a,32.0,7.944,248.24,0.24,0
39de4a,20.0,4.901,245.03,-0.38,0
39de4a,11.0,2.527,229.69,0.0,0
39de4a,32.0,7.773,242.9,0.0,0
39de4a,20.0,4.849,242.45,0.0,0
39de57,30.0,5.309,176.97,4.06,0
39de57,28.0,5.203,185.82,3.27,0
39de57,20.0,3.853,192.67,8.38,0
39de57,24.0,4.693,195.54,9.21,0
39de57,30.0,5.781,192.71,6.6,0
39de57,27.0,5.313,196.77,9.31,0
39de57,19.0,3.675,193.4,7.62,0
39de57,31.0,6.208,200.24,6.39,0
39de57,10.0,2.0,200.0,3.05,0
39de57,32.0,6.462,201.94,6.67,0
39de57,20.0,3.946,197.32,5.71,0
39de57,9.0,2.011,223.46,5.08,0
39de57,33.0,6.552,198.53,3.69,0
39de57,20.0,4.139,206.95,3.43,0
39de59,30.0,3.837,127.91,-6.86,0
39de59,28.0,3.535,126.25,-6.53,0
39de59,20.0,2.482,124.1,-3.43,0
39de59,24.0,2.758,114.9,-4.13,0
39de59,30.0,3.163,105.43,-4.06,0
39de59,27.0,2.802,103.78,-3.67,0
39de59,19.0,1.788,94.09,-4.81,0
39de59,31.0,2.807,90.56,-4.18,0
39de59,10.0,0.846,84.61,-4.57,0
39de59,32.0,2.726,85.18,-5.24,0
39de59,20.0,1.673,83.63,-4.57,0
39de59,10.0,0.789,78.87,-4.57,0
39de59,32.0,2.618,81.82,-4.76,0
39de59,20.0,1.62,80.99,-4.19,0
801640,32.0,39.823,1244.48,-0.24,0
801640,28.0,6.606,235.92,0.0,0
