icao24,dt_s,dist_km,speed_ms,climb_ms,is_fake
a3472f,29.0,5.582,192.49,-8.41,0
0d1159,20.0,1.169,58.45,-3.05,0
3c4598,19.0,4.82,253.69,0.0,0
a7486a,10.0,2.446,244.63,0.0,0
c82b07,3.0,0.008,2.58,0.0,0
7c1b5e,28.0,0.993,35.47,-3.27,0
8687bc,24.0,4.855,202.28,0.0,0
3c48ee,32.0,6.673,208.54,-11.19,0
39cf01,32.0,7.38,230.63,0.0,0
040240,28.0,5.294,189.08,-8.98,0
4bb86f,36.0,4.912,136.45,0.0,0
7c5e06,32.0,3.917,122.41,-6.67,0
a66316,31.0,4.08,131.62,-5.41,0
a7878f,31.0,7.21,232.57,7.62,0
c08095,27.0,6.115,226.47,0.0,0
440484,20.0,3.943,197.16,13.33,0
3c0cb2,27.0,6.743,249.73,0.0,0
884206,10.0,2.482,248.18,-0.76,0
4bcdec,19.0,4.043,212.77,0.0,0
4d21b1,10.0,1.863,186.26,20.57,0
fake3316,15.0,3.564,237.62,183.8,1
fake4859,15.0,5.49,366.02,-3.56,1
fake9186,25.0,5.947,237.9,225.53,1
4b0294,27.0,2.975,110.17,-6.21,0
fake1699,20.0,231.935,11596.75,3.79,1
a8690a,20.0,4.625,231.24,-0.38,0
a35781,10.0,0.0,0.0,0.0,0
738065,20.0,4.95,247.49,0.0,0
71c588,10.0,1.839,183.87,-5.33,0
a9d5a2,20.0,4.604,230.18,0.0,0
a78c43,20.0,4.81,240.51,0.0,0
485009,32.0,7.603,237.59,0.0,0
fake6248,25.0,8.206,328.23,-4.04,1
48c22f,20.0,4.508,225.41,0.0,0
a61949,19.0,3.855,202.89,-10.83,0
fake5553,15.0,2.85,189.98,58.58,1
ad5d5f,10.0,2.001,200.07,0.0,0
440bcb,33.0,4.104,124.36,-2.77,0
502ce5,32.0,0.0,0.0,6.67,0
c05ea2,31.0,6.961,224.55,0.0,0
fake6528,20.0,213.273,10663.66,3.3,1
471d5e,32.0,5.576,174.25,-9.05,0
a262ad,32.0,6.684,208.87,-14.05,0
46b8a6,24.0,0.0,0.0,0.0,0
010289,32.0,8.996,281.13,0.0,0
851f4e,31.0,7.564,244.0,-16.47,0
451d85,20.0,3.701,185.05,11.43,0
7cc5c6,31.0,1.361,43.91,2.46,0
7caf15,24.0,3.131,130.47,-6.67,0
a57719,31.0,8.326,268.59,0.0,0
a7c832,32.0,2.67,83.43,0.0,0
8014e4,32.0,4.544,142.01,6.91,0
440198,24.0,5.326,221.92,-4.76,0
7c2595,30.0,0.061,2.02,0.0,0
348383,32.0,7.066,220.81,4.76,0
4b19f4,21.0,0.032,1.53,0.0,0
a9a750,31.0,8.243,265.91,0.0,0
4baa59,10.0,1.414,141.42,0.76,0
4cc58a,25.0,0.118,4.72,0.0,0
fake7363,15.0,365.247,24349.81,4.26,1
4cc58a,20.0,0.089,4.44,0.0,0
452186,20.0,4.992,249.6,0.0,0
486071,31.0,7.212,232.64,0.25,0
abf308,26.0,0.0,0.0,0.0,0
4cadda,20.0,3.333,166.65,9.91,0
407844,19.0,0.029,1.53,0.0,0
a12701,24.0,1.446,60.24,0.32,0
a6049b,10.0,1.087,108.72,0.0,0
a1311e,30.0,6.092,203.08,0.0,0
49d328,10.0,2.432,243.21,0.0,0
a3d10f,30.0,0.0,0.0,0.0,0
a3b11e,27.0,6.616,245.02,0.0,0
4786c5,24.0,2.217,92.37,4.76,0
a27aee,19.0,0.162,8.5,0.0,0
ad5d5f,19.0,4.398,231.47,0.0,0
896212,24.0,5.372,223.83,6.99,0
aae5eb,32.0,6.549,204.66,12.14,0
7817f6,32.0,5.427,169.59,-0.24,0
501c16,10.0,1.979,197.85,1.52,0
8964fc,11.0,2.282,207.46,0.0,0
fake1699,25.0,200.698,8027.92,1.05,1
4ca737,32.0,5.53,172.8,5.95,0
a44962,32.0,7.62,238.13,0.0,0
861ed6,20.0,5.211,260.55,5.71,0
fake9572,25.0,8.756,350.23,2.95,1
8682da,20.0,5.199,259.93,0.0,0
fake5266,15.0,5.27,351.33,4.79,1
4caaa8,10.0,2.106,210.63,0.0,0
a44214,28.0,5.123,182.97,-10.07,0
a16629,33.0,6.183,187.36,11.55,0
407ff1,30.0,3.602,120.06,0.0,0
ac15a1,10.0,2.452,245.19,-10.67,0
424c62,31.0,8.534,275.29,0.0,0
4b161f,20.0,4.259,212.93,0.0,0
a5823e,28.0,6.414,229.07,0.0,0
c81d25,24.0,2.963,123.44,0.0,0
71ba04,30.0,9.004,300.14,0.0,0
851230,11.0,1.206,109.6,-2.77,0
fake3438,20.0,6.586,329.28,-2.39,1
7c6dba,21.0,4.295,204.54,-0.36,0
fake2615,25.0,5.204,208.17,65.19,1
a0ad1d,20.0,4.231,211.56,0.38,0
3950cf,31.0,5.146,166.01,16.22,0
aaed5a,28.0,6.839,244.27,0.0,0
4b1916,30.0,7.695,256.49,0.0,0
a842a3,20.0,1.113,55.64,-0.76,0
fake5622,20.0,181.26,9062.99,-0.62,1
a2cf3b,20.0,4.237,211.86,0.0,0
4bccad,10.0,2.189,218.91,0.0,0
06a140,28.0,6.525,233.05,0.0,0
fake9666,15.0,4.804,320.28,4.04,1
aa7dad,32.0,7.402,231.32,-13.1,0
fake1026,25.0,4.859,194.36,123.51,1
750466,30.0,2.548,84.93,-0.51,0
71c375,66.0,0.458,6.93,0.0,0
fake1154,20.0,169.242,8462.12,-2.89,1
3c4a8c,27.0,7.183,266.05,0.0,0
a0540a,32.0,6.332,197.87,7.38,0
3465d9,10.0,2.046,204.59,-4.57,0
aac6ee,32.0,8.474,264.8,0.0,0
4ba955,32.0,8.165,255.14,0.0,0
a15516,26.0,0.0,0.0,0.0,0
040151,30.0,6.784,226.15,6.35,0
3c675a,30.0,4.456,148.54,10.92,0
a821e1,27.0,1.06,39.26,-1.13,0
4cc53b,24.0,6.132,255.5,0.0,0
a16037,25.0,0.014,0.56,0.0,0
abeb9f,31.0,7.349,237.07,0.0,0
39e68f,10.0,2.08,208.04,0.0,0
fake3971,25.0,5.138,205.51,236.11,1
8571a9,23.0,0.963,41.85,0.66,0
a6a6b7,20.0,0.154,7.72,0.0,0
aa41c4,30.0,2.702,90.07,-4.83,0
801467,20.0,1.597,79.84,0.0,0
abf6ae,8.0,0.483,60.36,-2.86,0
a30f85,20.0,4.811,240.55,0.0,0
471d61,9.0,2.228,247.58,0.0,0
3ccc7f,18.0,4.588,254.88,0.0,0
fake8717,15.0,4.881,325.39,1.86,1
861b28,30.0,2.84,94.67,-5.33,0
738065,10.0,2.225,222.46,0.0,0
84b7fa,31.0,7.789,251.25,0.0,0
3c6518,31.0,7.975,257.27,0.0,0
4d22b9,20.0,4.344,217.19,0.0,0
3c49d4,20.0,3.876,193.82,12.19,0
440141,27.0,5.471,202.63,0.0,0
3451d3,31.0,5.877,189.59,-9.34,0
4aca8b,10.0,2.152,215.18,6.1,0
4ca4f5,32.0,6.901,215.65,0.0,0
4d226c,9.0,0.148,16.39,0.0,0
780a89,28.0,7.537,269.17,0.0,0
c02032,30.0,7.753,258.42,0.0,0
8014ef,2.0,0.059,29.72,0.0,0
4ba914,19.0,4.243,223.33,0.0,0
7c7c74,24.0,0.0,0.0,0.0,0
a143c6,19.0,1.847,97.2,-4.81,0
fake5169,25.0,394.768,15790.73,1.69,1
4baac9,21.0,4.235,201.66,0.0,0
a3a082,20.0,2.879,143.95,-3.81,0
fake1916,20.0,232.648,11632.4,-1.6,1
488182,10.0,2.164,216.42,0.0,0
c01a7d,10.0,2.653,265.34,0.0,0
4ca56a,20.0,3.854,192.71,14.48,0
80158b,10.0,0.825,82.47,0.0,0
a129dc,10.0,2.096,209.62,4.57,0
4caff6,32.0,6.774,211.69,8.57,0
780c06,5.0,1.159,231.85,0.0,0
fake2883,20.0,3.749,187.46,180.42,1
899014,10.0,1.458,145.81,-6.86,0
84b829,20.0,3.943,197.14,-0.38,0
44cdce,30.0,5.451,181.69,-6.6,0
a0d92a,19.0,0.898,47.26,0.0,0
4cae9d,30.0,6.454,215.12,9.14,0
76cd10,33.0,6.235,188.95,4.39,0
348209,11.0,1.993,181.21,7.62,0
c013d0,27.0,5.733,212.33,-9.03,0
461e1e,27.0,5.273,195.31,0.0,0
a37032,28.0,6.437,229.88,0.0,0
a94b50,28.0,6.64,237.15,0.0,0
71c591,32.0,5.767,180.23,0.0,0
aae5f7,28.0,3.326,118.78,-2.72,0
89909d,30.0,6.405,213.5,-9.4,0
a6191c,10.0,0.538,53.82,0.76,0
342398,9.0,2.06,228.9,0.85,0
